2025/11/17 21:17:59 INFO Starting partners-only import...
2025/11/17 21:17:59 INFO Loading Socios files…
2025/11/17 21:20:24 INFO Found 26650670 partner records to process
Processing partners   0% |                      | (0/26650670, 0 it/hr) [0s:0s]2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=29565214
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=01652605
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=08882119
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=04942056
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=00001942
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=01894539
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=31724722
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=31460194
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=04217930
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=31862141
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=03933800
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=04244384
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=31726929
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=01883988
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=09185602
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=00620207
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=02241768
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=00620409
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=30198375
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=04497227
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=04408710
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=29285203
